author,email,institution,count_citators,count_national_citators,count_international_citators,papers,Indice_colaboracion_cientifica_internacional,Indice_colaboracion_cientifica_nacional,Tendencia_Global,Indice_Colaboracion_General
Ben,ben@gmail.com,UCA,75,11,64,1,64.0,11.0,5.818181818181818,75
Ben,ben@gmail.com,UM,180,25,155,2,77.5,12.5,6.2,180
Ben,ben@gmail.com,UNC,396,40,356,4,89.0,10.0,8.9,396
Ben,ben@gmail.com,UTN,98,11,87,1,87.0,11.0,7.909090909090909,98
Carl,carl@gmail.com,UCA,90,15,75,1,75.0,15.0,5.0,90
Carl,carl@gmail.com,UNC,100,11,89,1,89.0,11.0,8.090909090909092,100
Carl,carl@gmail.com,UTN,192,17,175,2,87.5,8.5,10.294117647058824,192
Eduardo,eduardo@gmail.com,UCA,457,55,402,5,80.4,11.0,7.3090909090909095,457
Eduardo,eduardo@gmail.com,UM,84,6,78,1,78.0,6.0,13.0,84
Eduardo,eduardo@gmail.com,UNC,477,44,433,5,86.6,8.8,9.840909090909092,477
Jack,jack@gmail.com,UCA,184,25,159,2,79.5,12.5,6.36,184
Jack,jack@gmail.com,UM,190,28,162,2,81.0,14.0,5.785714285714286,190
Jack,jack@gmail.com,UNC,211,18,193,2,96.5,9.0,10.722222222222221,211
Jackie,jackie@gmail.com,UCA,303,27,276,3,92.0,9.0,10.222222222222221,303
Jackie,jackie@gmail.com,UM,189,17,172,2,86.0,8.5,10.117647058823529,189
Jackie,jackie@gmail.com,UNC,90,15,75,1,75.0,15.0,5.0,90
Jackie,jackie@gmail.com,UTN,199,26,173,2,86.5,13.0,6.653846153846154,199
Jane,jane@gmail.com,UCA,94,11,83,1,83.0,11.0,7.545454545454546,94
Jane,jane@gmail.com,UM,108,9,99,1,99.0,9.0,11.0,108
Jane,jane@gmail.com,UNC,497,54,443,5,88.6,10.8,8.203703703703704,497
Jane,jane@gmail.com,UTN,105,13,92,1,92.0,13.0,7.076923076923077,105
Jean,jean@gmail.com,UCA,267,23,244,3,81.33333333333333,7.666666666666667,10.608695652173912,267
Jean,jean@gmail.com,UNC,171,13,158,2,79.0,6.5,12.153846153846153,171
Jean,jean@gmail.com,UTN,180,29,151,2,75.5,14.5,5.206896551724138,180
Jessica,jessica@gmail.com,UCA,362,45,317,4,79.25,11.25,7.044444444444444,362
Jessica,jessica@gmail.com,UM,255,29,226,3,75.33333333333333,9.666666666666666,7.793103448275862,255
Jessica,jessica@gmail.com,UTN,74,8,66,1,66.0,8.0,8.25,74
Jill,jill@gmail.com,UCA,89,12,77,1,77.0,12.0,6.416666666666667,89
Jill,jill@gmail.com,UM,113,14,99,1,99.0,14.0,7.071428571428571,113
Jill,jill@gmail.com,UNC,182,21,161,2,80.5,10.5,7.666666666666667,182
Jill,jill@gmail.com,UTN,374,26,348,4,87.0,6.5,13.384615384615385,374
Juan,juan@gmail.com,UCA,288,30,258,3,86.0,10.0,8.6,288
Juan,juan@gmail.com,UM,102,11,91,1,91.0,11.0,8.272727272727273,102
Juan,juan@gmail.com,UNC,260,29,231,3,77.0,9.666666666666666,7.9655172413793105,260
Juan,juan@gmail.com,UTN,464,61,403,5,80.6,12.2,6.60655737704918,464
Lucas,lucas@gmail.com,UCA,466,60,406,5,81.2,12.0,6.766666666666667,466
Lucas,lucas@gmail.com,UNC,280,36,244,3,81.33333333333333,12.0,6.777777777777778,280
Luis,luis@gmail.com,UCA,90,8,82,1,82.0,8.0,10.25,90
Luis,luis@gmail.com,UTN,187,25,162,2,81.0,12.5,6.48,187
Martin,martin@gmail.com,UCA,269,31,238,3,79.33333333333333,10.333333333333334,7.67741935483871,269
Martin,martin@gmail.com,UM,95,10,85,1,85.0,10.0,8.5,95
Martin,martin@gmail.com,UNC,296,35,261,3,87.0,11.666666666666666,7.457142857142857,296
Martin,martin@gmail.com,UTN,98,8,90,1,90.0,8.0,11.25,98
Tomas,tomas@gmail.com,UCA,101,8,93,1,93.0,8.0,11.625,101
Tomas,tomas@gmail.com,UM,89,5,84,1,84.0,5.0,16.8,89
Tomas,tomas@gmail.com,UNC,182,26,156,2,78.0,13.0,6.0,182
Tomas,tomas@gmail.com,UTN,176,21,155,2,77.5,10.5,7.380952380952381,176
Wendy,wendy@gmail.com,UCA,90,10,80,1,80.0,10.0,8.0,90
Wendy,wendy@gmail.com,UM,84,15,69,1,69.0,15.0,4.6,84
Wendy,wendy@gmail.com,UNC,165,9,156,2,78.0,4.5,17.333333333333332,165
Wendy,wendy@gmail.com,UTN,97,8,89,1,89.0,8.0,11.125,97
